Now the first column is url which is missing 404, second column is Anchor text and third column is Linked From
keep in mind that https://alpine-academy-frontend.vercel.app/ is baseUrl of project, you need to fix each 404 link on these page , only need to fix these links please

URL	Anchor Text	Linked From
https://alpine-academy-frontend.vercel.app/pt/aulas-esqui-freeride-baqueira.html	Português	https://alpine-academy-frontend.vercel.app/pt/aulas-freeride-baqueira.html
https://alpine-academy-frontend.vercel.app/en/classes-esqui-freestyle-baqueira.html	Català	https://alpine-academy-frontend.vercel.app/en/freestyle-ski-lessons-baqueira.html
https://alpine-academy-frontend.vercel.app/en/cours-ski-freestyle-baqueira.html	Français	https://alpine-academy-frontend.vercel.app/en/freestyle-ski-lessons-baqueira.html
https://alpine-academy-frontend.vercel.app/en/aulas-esqui-freestyle-baqueira.html	Português	https://alpine-academy-frontend.vercel.app/en/freestyle-ski-lessons-baqueira.html
https://alpine-academy-frontend.vercel.app/fr/freestyle-ski-lessons-baqueira.html	English	https://alpine-academy-frontend.vercel.app/fr/cours-freestyle-baqueira.html
https://alpine-academy-frontend.vercel.app/fr/classes-esqui-freestyle-baqueira.html	Català	https://alpine-academy-frontend.vercel.app/fr/cours-freestyle-baqueira.html
https://alpine-academy-frontend.vercel.app/fr/cours-ski-freestyle-baqueira.html	Français	https://alpine-academy-frontend.vercel.app/fr/cours-freestyle-baqueira.html
https://alpine-academy-frontend.vercel.app/fr/aulas-esqui-freestyle-baqueira.html	Português	https://alpine-academy-frontend.vercel.app/fr/cours-freestyle-baqueira.html
https://alpine-academy-frontend.vercel.app/pt/freestyle-ski-lessons-baqueira.html	English	https://alpine-academy-frontend.vercel.app/pt/aulas-freestyle-baqueira.html
https://alpine-academy-frontend.vercel.app/pt/classes-esqui-freestyle-baqueira.html	Català	https://alpine-academy-frontend.vercel.app/pt/aulas-freestyle-baqueira.html
https://alpine-academy-frontend.vercel.app/pt/cours-ski-freestyle-baqueira.html	Français	https://alpine-academy-frontend.vercel.app/pt/aulas-freestyle-baqueira.html
https://alpine-academy-frontend.vercel.app/pt/aulas-esqui-freestyle-baqueira.html	Português	https://alpine-academy-frontend.vercel.app/pt/aulas-freestyle-baqueira.html
https://alpine-academy-frontend.vercel.app/en/group-ski-lessons-children-baqueira.html	English	https://alpine-academy-frontend.vercel.app/en/group-ski-lessons-kids-baqueira.html
https://alpine-academy-frontend.vercel.app/en/classes-esqui-grup-nens-baqueira.html	Català	https://alpine-academy-frontend.vercel.app/en/group-ski-lessons-kids-baqueira.html
https://alpine-academy-frontend.vercel.app/en/cours-ski-groupe-enfants-baqueira.html	Français	https://alpine-academy-frontend.vercel.app/en/group-ski-lessons-kids-baqueira.html
https://alpine-academy-frontend.vercel.app/en/aulas-esqui-grupo-criancas-baqueira.html	Português	https://alpine-academy-frontend.vercel.app/en/group-ski-lessons-kids-baqueira.html
